run,chunk_size,chunk_overlap,preserve_structure,embedding,k,gen_model,doc_hit@k,evidence_recall@k,MRR,numeric_match,token_f1
baseline,512,64,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.327,0.48,0.18,0.033,0.091
baseline_citefix,512,64,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.327,0.48,0.18,0.033,0.091
baseline_precitefix,512,64,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.327,0.48,0.18,0.047,0.111
chunk1024,1024,128,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.32,0.64,0.187,0.02,0.035
chunk256,256,32,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.28,0.24,0.172,0.06,0.091
chunk512,512,64,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.34,0.44,0.209,0.06,0.099
emb_bge,512,64,True,bge-small-en-v1.5,5,Qwen/Qwen2.5-1.5B-Instruct,0.54,0.42,0.36,0.06,0.104
emb_minilm,512,64,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.34,0.44,0.209,0.06,0.099
emb_mpnet,512,64,True,all-mpnet-base-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.48,0.5,0.331,0.08,0.093
gen_qwen1_5b,512,64,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.34,0.44,0.209,0.06,0.099
gen_tinyllama1_1b,512,64,True,all-MiniLM-L6-v2,5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.125,0.375,0.075,0.0,0.011
k1,512,64,True,all-MiniLM-L6-v2,1,Qwen/Qwen2.5-1.5B-Instruct,0.14,0.22,0.14,0.1,0.09
k10,512,64,True,all-MiniLM-L6-v2,10,Qwen/Qwen2.5-1.5B-Instruct,0.52,0.58,0.234,0.02,0.038
k3,512,64,True,all-MiniLM-L6-v2,3,Qwen/Qwen2.5-1.5B-Instruct,0.24,0.32,0.187,0.14,0.103
k5,512,64,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.34,0.44,0.209,0.06,0.099
ov0,512,0,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.1,0.38,0.033,0.06,0.09
ov32,512,32,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.18,0.4,0.074,0.06,0.087
ov96,512,96,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.2,0.38,0.106,0.06,0.093
struct_off,384,48,False,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.2,0.32,0.114,0.06,0.083
struct_on,384,48,True,all-MiniLM-L6-v2,5,Qwen/Qwen2.5-1.5B-Instruct,0.2,0.32,0.114,0.06,0.083
